Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;;92  Actividades de juegos de azar y apuestas;10 y más;1
Total Nacional;;93  Actividades deportivas, recreativas y de entretenimiento;Total;3.844
Total Nacional;;93  Actividades deportivas, recreativas y de entretenimiento;Cero;2.830
Total Nacional;;93  Actividades deportivas, recreativas y de entretenimiento;1 a 4;868
Total Nacional;;93  Actividades deportivas, recreativas y de entretenimiento;5 a 9;100
Total Nacional;;93  Actividades deportivas, recreativas y de entretenimiento;10 y más;46
Total Nacional;;94  Actividades asociativas;Total;2.191
Total Nacional;;94  Actividades asociativas;Cero;1.355
Total Nacional;;94  Actividades asociativas;1 a 4;777
Total Nacional;;94  Actividades asociativas;5 a 9;44
Total Nacional;;94  Actividades asociativas;10 y más;15
Total Nacional;;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Total;2.535
Total Nacional;;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Cero;2.383
Total Nacional;;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;1 a 4;141
Total Nacional;;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;5 a 9;10
Total Nacional;;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;10 y más;1
Total Nacional;;96  Otros servicios personales;Total;13.860
Total Nacional;;96  Otros servicios personales;Cero;11.747
Total Nacional;;96  Otros servicios personales;1 a 4;1.967
Total Nacional;;96  Otros servicios personales;5 a 9;137
Total Nacional;;96  Otros servicios personales;10 y más;9
Total Nacional;01 Andalucía;Todas las actividades;Total;51.269
Total Nacional;01 Andalucía;Todas las actividades;Cero;42.566
Total Nacional;01 Andalucía;Todas las actividades;1 a 4;7.660
Total Nacional;01 Andalucía;Todas las actividades;5 a 9;788
Total Nacional;01 Andalucía;Todas las actividades;10 y más;255
Total Nacional;01 Andalucía;05  Extracción de antracita, hulla y lignito;Total;0
Total Nacional;01 Andalucía;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;01 Andalucía;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;01 Andalucía;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;01 Andalucía;05  Extracción de antracita, hulla y lignito;10 y más;0
Total Nacional;01 Andalucía;06  Extracción de crudo de petróleo y gas natural;Total;0
Total Nacional;01 Andalucía;06  Extracción de crudo de petróleo y gas natural;Cero;0
Total Nacional;01 Andalucía;06  Extracción de crudo de petróleo y gas natural;1 a 4;0
Total Nacional;01 Andalucía;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;01 Andalucía;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;01 Andalucía;07  Extracción de minerales metálicos;Total;0
Total Nacional;01 Andalucía;07  Extracción de minerales metálicos;Cero;0
Total Nacional;01 Andalucía;07  Extracción de minerales metálicos;1 a 4;0
Total Nacional;01 Andalucía;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;01 Andalucía;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;01 Andalucía;08  Otras industrias extractivas;Total;8
Total Nacional;01 Andalucía;08  Otras industrias extractivas;Cero;5
Total Nacional;01 Andalucía;08  Otras industrias extractivas;1 a 4;3
Total Nacional;01 Andalucía;08  Otras industrias extractivas;5 a 9;0
Total Nacional;01 Andalucía;08  Otras industrias extractivas;10 y más;0
Total Nacional;01 Andalucía;09  Actividades de apoyo a las industrias extractivas;Total;1
Total Nacional;01 Andalucía;09  Actividades de apoyo a las industrias extractivas;Cero;1
Total Nacional;01 Andalucía;09  Actividades de apoyo a las industrias extractivas;1 a 4;0
Total Nacional;01 Andalucía;09  Actividades de apoyo a las industrias extractivas;5 a 9;0
Total Nacional;01 Andalucía;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;01 Andalucía;10  Industria de la alimentación;Total;234
Total Nacional;01 Andalucía;10  Industria de la alimentación;Cero;128
Total Nacional;01 Andalucía;10  Industria de la alimentación;1 a 4;83
Total Nacional;01 Andalucía;10  Industria de la alimentación;5 a 9;17
Total Nacional;01 Andalucía;10  Industria de la alimentación;10 y más;6
Total Nacional;01 Andalucía;11  Fabricación de bebidas;Total;13
Total Nacional;01 Andalucía;11  Fabricación de bebidas;Cero;12
Total Nacional;01 Andalucía;11  Fabricación de bebidas;1 a 4;1
Total Nacional;01 Andalucía;11  Fabricación de bebidas;5 a 9;0
Total Nacional;01 Andalucía;11  Fabricación de bebidas;10 y más;0
Total Nacional;01 Andalucía;12  Industria del tabaco;Total;1
Total Nacional;01 Andalucía;12  Industria del tabaco;Cero;1
Total Nacional;01 Andalucía;12  Industria del tabaco;1 a 4;0
Total Nacional;01 Andalucía;12  Industria del tabaco;5 a 9;0
Total Nacional;01 Andalucía;12  Industria del tabaco;10 y más;0
Total Nacional;01 Andalucía;13  Industria textil;Total;104
Total Nacional;01 Andalucía;13  Industria textil;Cero;85
Total Nacional;01 Andalucía;13  Industria textil;1 a 4;16
Total Nacional;01 Andalucía;13  Industria textil;5 a 9;3
Total Nacional;01 Andalucía;13  Industria textil;10 y más;0
Total Nacional;01 Andalucía;14  Confección de prendas de vestir;Total;202
Total Nacional;01 Andalucía;14  Confección de prendas de vestir;Cero;172
Total Nacional;01 Andalucía;14  Confección de prendas de vestir;1 a 4;24
Total Nacional;01 Andalucía;14  Confección de prendas de vestir;5 a 9;5
Total Nacional;01 Andalucía;14  Confección de prendas de vestir;10 y más;1
Total Nacional;01 Andalucía;15  Industria del cuero y del calzado;Total;43
Total Nacional;01 Andalucía;15  Industria del cuero y del calzado;Cero;26
Total Nacional;01 Andalucía;15  Industria del cuero y del calzado;1 a 4;11
Total Nacional;01 Andalucía;15  Industria del cuero y del calzado;5 a 9;4
Total Nacional;01 Andalucía;15  Industria del cuero y del calzado;10 y más;2
Total Nacional;01 Andalucía;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Total;78
Total Nacional;01 Andalucía;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Cero;56
Total Nacional;01 Andalucía;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;1 a 4;15
Total Nacional;01 Andalucía;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;4
Total Nacional;01 Andalucía;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;3
Total Nacional;01 Andalucía;17  Industria del papel;Total;8
Total Nacional;01 Andalucía;17  Industria del papel;Cero;3
Total Nacional;01 Andalucía;17  Industria del papel;1 a 4;3
Total Nacional;01 Andalucía;17  Industria del papel;5 a 9;1
Total Nacional;01 Andalucía;17  Industria del papel;10 y más;1
Total Nacional;01 Andalucía;18  Artes gráficas y reproducción de soportes grabados;Total;153
Total Nacional;01 Andalucía;18  Artes gráficas y reproducción de soportes grabados;Cero;136
Total Nacional;01 Andalucía;18  Artes gráficas y reproducción de soportes grabados;1 a 4;14
Total Nacional;01 Andalucía;18  Artes gráficas y reproducción de soportes grabados;5 a 9;2
Total Nacional;01 Andalucía;18  Artes gráficas y reproducción de soportes grabados;10 y más;1
Total Nacional;01 Andalucía;19  Coquerías y refino de petróleo;Total;0
Total Nacional;01 Andalucía;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;01 Andalucía;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;01 Andalucía;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;01 Andalucía;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;01 Andalucía;20  Industria química;Total;28
Total Nacional;01 Andalucía;20  Industria química;Cero;18
Total Nacional;01 Andalucía;20  Industria química;1 a 4;9
Total Nacional;01 Andalucía;20  Industria química;5 a 9;0
Total Nacional;01 Andalucía;20  Industria química;10 y más;1
Total Nacional;01 Andalucía;21  Fabricación de productos farmacéuticos;Total;2
Total Nacional;01 Andalucía;21  Fabricación de productos farmacéuticos;Cero;1
Total Nacional;01 Andalucía;21  Fabricación de productos farmacéuticos;1 a 4;0
Total Nacional;01 Andalucía;21  Fabricación de productos farmacéuticos;5 a 9;0
Total Nacional;01 Andalucía;21  Fabricación de productos farmacéuticos;10 y más;1
Total Nacional;01 Andalucía;22  Fabricación de productos de caucho y plásticos;Total;28
Total Nacional;01 Andalucía;22  Fabricación de productos de caucho y plásticos;Cero;22
Total Nacional;01 Andalucía;22  Fabricación de productos de caucho y plásticos;1 a 4;3
Total Nacional;01 Andalucía;22  Fabricación de productos de caucho y plásticos;5 a 9;1
Total Nacional;01 Andalucía;22  Fabricación de productos de caucho y plásticos;10 y más;2
Total Nacional;01 Andalucía;23  Fabricación de otros productos minerales no metálicos;Total;66
Total Nacional;01 Andalucía;23  Fabricación de otros productos minerales no metálicos;Cero;46
Total Nacional;01 Andalucía;23  Fabricación de otros productos minerales no metálicos;1 a 4;16
Total Nacional;01 Andalucía;23  Fabricación de otros productos minerales no metálicos;5 a 9;4
Total Nacional;01 Andalucía;23  Fabricación de otros productos minerales no metálicos;10 y más;0
Total Nacional;01 Andalucía;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Total;4
Total Nacional;01 Andalucía;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Cero;3
Total Nacional;01 Andalucía;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;1 a 4;1
Total Nacional;01 Andalucía;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;5 a 9;0
Total Nacional;01 Andalucía;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;10 y más;0
Total Nacional;01 Andalucía;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Total;321
Total Nacional;01 Andalucía;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Cero;234
Total Nacional;01 Andalucía;25  Fabricación de productos metálicos, excepto maquinaria y equipo;1 a 4;68
Total Nacional;01 Andalucía;25  Fabricación de productos metálicos, excepto maquinaria y equipo;5 a 9;15
Total Nacional;01 Andalucía;25  Fabricación de productos metálicos, excepto maquinaria y equipo;10 y más;4
Total Nacional;01 Andalucía;26  Fabricación de productos informáticos, electrónicos y ópticos;Total;17
Total Nacional;01 Andalucía;26  Fabricación de productos informáticos, electrónicos y ópticos;Cero;13
Total Nacional;01 Andalucía;26  Fabricación de productos informáticos, electrónicos y ópticos;1 a 4;4
Total Nacional;01 Andalucía;26  Fabricación de productos informáticos, electrónicos y ópticos;5 a 9;0
Total Nacional;01 Andalucía;26  Fabricación de productos informáticos, electrónicos y ópticos;10 y más;0
Total Nacional;01 Andalucía;27  Fabricación de material y equipo eléctrico;Total;7
Total Nacional;01 Andalucía;27  Fabricación de material y equipo eléctrico;Cero;6
Total Nacional;01 Andalucía;27  Fabricación de material y equipo eléctrico;1 a 4;1
Total Nacional;01 Andalucía;27  Fabricación de material y equipo eléctrico;5 a 9;0
Total Nacional;01 Andalucía;27  Fabricación de material y equipo eléctrico;10 y más;0
Total Nacional;01 Andalucía;28  Fabricación de maquinaria y equipo n.c.o.p.;Total;23
Total Nacional;01 Andalucía;28  Fabricación de maquinaria y equipo n.c.o.p.;Cero;14
Total Nacional;01 Andalucía;28  Fabricación de maquinaria y equipo n.c.o.p.;1 a 4;7
Total Nacional;01 Andalucía;28  Fabricación de maquinaria y equipo n.c.o.p.;5 a 9;2
Total Nacional;01 Andalucía;28  Fabricación de maquinaria y equipo n.c.o.p.;10 y más;0
Total Nacional;01 Andalucía;29  Fabricación de vehículos de motor, remolques y semirremolques;Total;8
Total Nacional;01 Andalucía;29  Fabricación de vehículos de motor, remolques y semirremolques;Cero;8
Total Nacional;01 Andalucía;29  Fabricación de vehículos de motor, remolques y semirremolques;1 a 4;0
Total Nacional;01 Andalucía;29  Fabricación de vehículos de motor, remolques y semirremolques;5 a 9;0
Total Nacional;01 Andalucía;29  Fabricación de vehículos de motor, remolques y semirremolques;10 y más;0
Total Nacional;01 Andalucía;30  Fabricación de otro material de transporte;Total;5
Total Nacional;01 Andalucía;30  Fabricación de otro material de transporte;Cero;2
Total Nacional;01 Andalucía;30  Fabricación de otro material de transporte;1 a 4;3
Total Nacional;01 Andalucía;30  Fabricación de otro material de transporte;5 a 9;0
Total Nacional;01 Andalucía;30  Fabricación de otro material de transporte;10 y más;0
Total Nacional;01 Andalucía;31  Fabricación de muebles;Total;144
Total Nacional;01 Andalucía;31  Fabricación de muebles;Cero;108
Total Nacional;01 Andalucía;31  Fabricación de muebles;1 a 4;27
Total Nacional;01 Andalucía;31  Fabricación de muebles;5 a 9;5
Total Nacional;01 Andalucía;31  Fabricación de muebles;10 y más;4
Total Nacional;01 Andalucía;32  Otras industrias manufactureras;Total;130
Total Nacional;01 Andalucía;32  Otras industrias manufactureras;Cero;118
Total Nacional;01 Andalucía;32  Otras industrias manufactureras;1 a 4;11
Total Nacional;01 Andalucía;32  Otras industrias manufactureras;5 a 9;1
Total Nacional;01 Andalucía;32  Otras industrias manufactureras;10 y más;0
Total Nacional;01 Andalucía;33  Reparación e instalación de maquinaria y equipo;Total;132
Total Nacional;01 Andalucía;33  Reparación e instalación de maquinaria y equipo;Cero;89
Total Nacional;01 Andalucía;33  Reparación e instalación de maquinaria y equipo;1 a 4;34
Total Nacional;01 Andalucía;33  Reparación e instalación de maquinaria y equipo;5 a 9;6
Total Nacional;01 Andalucía;33  Reparación e instalación de maquinaria y equipo;10 y más;3
Total Nacional;01 Andalucía;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Total;13
Total Nacional;01 Andalucía;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Cero;0
Total Nacional;01 Andalucía;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;1 a 4;10
